Cue table for 4_act2
Beat	Tag	Note	Track_Time	TC_Time	Section_Break
0.00000			00:00:00.00	00:00:00.00	1
30.00000			00:00:30.00	00:00:30.00	1
60.00000	CUE 01.65.00	HH Marquee	00:01:00.00	00:01:00.00	1
75.00000		SNAP AT C (on Auto)	00:01:15.00	00:01:15.00	0
90.00000	CUE 01.66.00	CC in Place	00:01:30.00	00:01:30.00	1
150.00000	CUE 01.68.00	HH Backstage	00:02:30.00	00:02:30.00	1
180.00000	CUE 01.68.50	Backdrop Shift	00:03:00.00	00:03:00.00	1
210.00000	CUE 01.69.00	Transition to Ceasars Palace	00:03:30.00	00:03:30.00	1
270.00000	CUE 01.70.00	Ceasers Palace	00:04:30.00	00:04:30.00	1
330.00000	CUE 01.71.00	Cesears Palace Backstage	00:05:30.00	00:05:30.00	1
390.00000	CUE 01.73.00	Transition to FB	00:06:30.00	00:06:30.00	1
450.00000	CUE 01.75.00	Fontaine Bleu	00:07:30.00	00:07:30.00	1
510.00000	CUE 01.75.30	Starlights Red	00:08:30.00	00:08:30.00	1
540.00000	CUE 01.75.50	Chorus Animation	00:09:00.00	00:09:00.00	1
570.00000	CUE 01.75.60	Two Hits	00:09:30.00	00:09:30.00	1
600.00000	CUE 01.75.70	Restore to ON	00:10:00.00	00:10:00.00	1
660.00000	CUE 01.76.00	CeeCee Chase	00:11:00.00	00:11:00.00	1
690.00000	CUE 01.76.30	Restore to ON	00:11:30.00	00:11:30.00	1
720.00000	CUE 01.77.00	Alternating	00:12:00.00	00:12:00.00	1
750.00000	CUE 01.77.30	Neon Chase	00:12:30.00	00:12:30.00	1
780.00000	CUE 01.77.50		00:13:00.00	00:13:00.00	1
810.00000	CUE 01.78.00	Starlights and CeeCee	00:13:30.00	00:13:30.00	1
870.00000	CUE 01.79.00	Button	00:14:30.00	00:14:30.00	1
930.00000	CUE 01.80.00	Dressing Room (RT)	00:15:30.00	00:15:30.00	1
960.00000	CUE 01.81.00	Picture Up	00:16:00.00	00:16:00.00	1
990.00000	CUE 01.82.00	Shrink	00:16:30.00	00:16:30.00	1
1020.00000	CUE 01.84.00	Words I Should Have Said	00:17:00.00	00:17:00.00	1
1050.00000	CUE 01.86.00	BO	00:17:30.00	00:17:30.00	1
1080.00000	CUE 01.92.00	Hospital	00:18:00.00	00:18:00.00	1
1110.00000	CUE 01.93.00	Nuns Exit	00:18:30.00	00:18:30.00	1
1140.00000	CUE 01.94.00	Littles	00:19:00.00	00:19:00.00	1
1200.00000	CUE 01.95.00	FB Dressing Room Restore(RT)	00:20:00.00	00:20:00.00	1
1260.00000	CUE 01.99.00	Sarasota - BO	00:21:00.00	00:21:00.00	1
1290.00000	CUE 02.00.00	Sarasota Lights Up	00:21:30.00	00:21:30.00	1
1320.00000	CUE 02.01.00	Bertie Sings	00:22:00.00	00:22:00.00	1
1350.00000	CUE 02.03.00	Button	00:22:30.00	00:22:30.00	1
1380.00000	CUE 02.04.00	BO	00:23:00.00	00:23:00.00	1
1410.00000	CUE 02.06.00	Littles - BO	00:23:30.00	00:23:30.00	1
1470.00000	CUE 02.07.00	Sarasota Restore	00:24:30.00	00:24:30.00	1
1500.00000	CUE 02.07.10	Brighten	00:25:00.00	00:25:00.00	1
1530.00000	CUE 02.09.00	Taxi Stand	00:25:30.00	00:25:30.00	1
